JUCE v5.3.2
Start MalKovChainSequencer
Start analysis
Num Tracks = 1
Start reading MIDI ...
============================================
Read Track: 0
NOTEON: NoteNumber:46 at: 12.104167
NOTEOFF: NoteNumber:46 at: 12.129167
NOTEOFF: NoteNumber:34 at: 12.141667
NOTEOFF: NoteNumber:53 at: 12.158333
NOTEOFF: NoteNumber:46 at: 12.158333
NOTEOFF: NoteNumber:58 at: 12.183333
NOTEOFF: NoteNumber:62 at: 12.187500
NOTEON: NoteNumber:33 at: 12.200000
NOTEON: NoteNumber:57 at: 12.200000
NOTEON: NoteNumber:52 at: 12.200000
NOTEON: NoteNumber:45 at: 12.200000
NOTEON: NoteNumber:42 at: 12.200000
NOTEON: NoteNumber:46 at: 12.204167
NOTEON: NoteNumber:28 at: 12.204167
NOTEON: NoteNumber:60 at: 12.204167
NOTEOFF: NoteNumber:42 at: 12.208333
NOTEON: NoteNumber:40 at: 12.208333
NOTEOFF: NoteNumber:28 at: 12.212500
NOTEOFF: NoteNumber:40 at: 12.216667
NOTEOFF: NoteNumber:46 at: 12.229167
NOTEOFF: NoteNumber:33 at: 12.300000
NOTEON: NoteNumber:46 at: 12.304167
NOTEON: NoteNumber:28 at: 12.304167
NOTEON: NoteNumber:40 at: 12.308333
NOTEOFF: NoteNumber:28 at: 12.312500
NOTEOFF: NoteNumber:40 at: 12.316667
NOTEOFF: NoteNumber:46 at: 12.329167
NOTEOFF: NoteNumber:52 at: 12.333333
NOTEOFF: NoteNumber:45 at: 12.333333
NOTEOFF: NoteNumber:57 at: 12.383333
NOTEOFF: NoteNumber:60 at: 12.387500
NOTEON: NoteNumber:38 at: 12.395833
NOTEON: NoteNumber:36 at: 12.395833
NOTEON: NoteNumber:42 at: 12.400000
NOTEOFF: NoteNumber:38 at: 12.404167
NOTEOFF: NoteNumber:36 at: 12.404167
NOTEON: NoteNumber:46 at: 12.404167
NOTEON: NoteNumber:28 at: 12.404167
NOTEOFF: NoteNumber:42 at: 12.408333
NOTEON: NoteNumber:40 at: 12.408333
NOTEOFF: NoteNumber:28 at: 12.412500
NOTEOFF: NoteNumber:40 at: 12.416667
NOTEOFF: NoteNumber:46 at: 12.429167
NOTEON: NoteNumber:58 at: 12.504167
NOTEOFF: NoteNumber:58 at: 12.529167
NOTEON: NoteNumber:31 at: 12.600000
NOTEON: NoteNumber:55 at: 12.600000
NOTEON: NoteNumber:42 at: 12.600000
NOTEON: NoteNumber:50 at: 12.600000
NOTEON: NoteNumber:43 at: 12.600000
NOTEON: NoteNumber:28 at: 12.604167
NOTEON: NoteNumber:53 at: 12.604167
NOTEON: NoteNumber:58 at: 12.604167
NOTEOFF: NoteNumber:42 at: 12.608333
NOTEOFF: NoteNumber:28 at: 12.612500
NOTEOFF: NoteNumber:53 at: 12.629167
NOTEON: NoteNumber:28 at: 12.704167
NOTEON: NoteNumber:50 at: 12.704167
NOTEOFF: NoteNumber:28 at: 12.712500
NOTEOFF: NoteNumber:50 at: 12.729167
NOTEON: NoteNumber:36 at: 12.795833
NOTEON: NoteNumber:42 at: 12.800000
NOTEOFF: NoteNumber:36 at: 12.804167
NOTEON: NoteNumber:28 at: 12.804167
NOTEON: NoteNumber:43 at: 12.804167
NOTEOFF: NoteNumber:42 at: 12.808333
NOTEOFF: NoteNumber:28 at: 12.812500
NOTEOFF: NoteNumber:43 at: 12.829167
NOTEON: NoteNumber:43 at: 12.904167
NOTEOFF: NoteNumber:43 at: 12.929167
NOTEON: NoteNumber:42 at: 13.000000
NOTEON: NoteNumber:43 at: 13.004167
NOTEON: NoteNumber:28 at: 13.004167
NOTEOFF: NoteNumber:42 at: 13.008333
NOTEON: NoteNumber:40 at: 13.008333
NOTEOFF: NoteNumber:28 at: 13.012500
NOTEOFF: NoteNumber:40 at: 13.016667
NOTEOFF: NoteNumber:43 at: 13.029167
NOTEON: NoteNumber:43 at: 13.104167
NOTEON: NoteNumber:28 at: 13.104167
